"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-01","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-02","0.56"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-03","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-04","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-05","0.01"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-06","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-07","0.22"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-08","0.11"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-09","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-10","0.01"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-11","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-12","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-13","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-14","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-15","0.35"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-16","1.81"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-17","1.22"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-18","0.63"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-19","0.03"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-20","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-21","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-22","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-23","0.05"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-24","0.02"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-25","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-26","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-27","0.63"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-28","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-29","0.00"
"FIE00142226","HELSINKI KUMPULA, FI","60.2028","24.9642","24.0","2016-06-30","0.00"
