Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
44,U.C. Riverside,Los Angeles Basin,1/1/2017,001,0.03, ,0.00, ,154, ,8.4, ,53.7, ,41.5, ,47.8, ,87, ,57, ,74, ,39.9, ,2.5, ,59.5, ,52.2, 
44,U.C. Riverside,Los Angeles Basin,1/2/2017,002,0.02, ,0.00, ,103, ,9.0, ,54.2, ,45.1, ,49.6, ,82, ,65, ,75, ,41.9, ,2.9, ,69.8, ,52.0, 
44,U.C. Riverside,Los Angeles Basin,1/3/2017,003,0.02, ,0.00, ,134, ,8.7, ,55.5, ,42.3, ,47.8, ,86, ,59, ,77, ,40.8, ,2.3, ,54.8, ,51.6, 
44,U.C. Riverside,Los Angeles Basin,1/4/2017,004,0.04, ,0.00, ,193, ,9.2, ,59.4, ,40.0, ,50.8, ,85, ,57, ,73, ,42.5, ,2.3, ,55.1, ,51.4, 
44,U.C. Riverside,Los Angeles Basin,1/5/2017,005,0.01, ,0.13, ,89, ,12.2,Y,60.6, ,51.9, ,55.2, ,86, ,73, ,82,Y,49.8,Y,3.0, ,72.2, ,53.3, 
44,U.C. Riverside,Los Angeles Basin,1/6/2017,006,0.06, ,0.00, ,247, ,8.7, ,62.4, ,44.4, ,53.0, ,86, ,39, ,63, ,40.9, ,3.1, ,73.8, ,54.0, 
44,U.C. Riverside,Los Angeles Basin,1/7/2017,007,0.05, ,0.01, ,164, ,8.4, ,66.8, ,44.5, ,54.2, ,75, ,42, ,59, ,40.1, ,2.3, ,54.5, ,53.5, 
44,U.C. Riverside,Los Angeles Basin,1/8/2017,008,0.08, ,0.00, ,244, ,9.1, ,75.5, ,48.3, ,60.4, ,69, ,31, ,51, ,42.0, ,2.6, ,62.8, ,54.2, 
44,U.C. Riverside,Los Angeles Basin,1/9/2017,009,0.01, ,0.52, ,86, ,11.8, ,60.5, ,51.4, ,55.1, ,86, ,62, ,80, ,49.0, ,2.9, ,69.6, ,55.2, 
44,U.C. Riverside,Los Angeles Basin,1/10/2017,010,0.01, ,0.03, ,82, ,11.2, ,55.3, ,47.1, ,52.0, ,87, ,76, ,84, ,47.4, ,2.5, ,59.8, ,54.5, 
44,U.C. Riverside,Los Angeles Basin,1/11/2017,011,0.03, ,0.14, ,133, ,11.2, ,62.2, ,48.2, ,54.4, ,86, ,58, ,78, ,47.5, ,3.8, ,92.2, ,54.9, 
44,U.C. Riverside,Los Angeles Basin,1/12/2017,012,0.01, ,0.56, ,47, ,10.3, ,54.4, ,48.7, ,51.1, ,85, ,71, ,81, ,45.4, ,3.9, ,93.9, ,54.2, 
44,U.C. Riverside,Los Angeles Basin,1/13/2017,013,0.03, ,0.08, ,141, ,9.4, ,57.9, ,46.4, ,51.3, ,86, ,55, ,73, ,42.9, ,2.5, ,59.2, ,53.8, 
44,U.C. Riverside,Los Angeles Basin,1/14/2017,014,0.11, ,0.00, ,275, ,7.7, ,65.0, ,43.3, ,55.9, ,83, ,36, ,51, ,37.9, ,6.5, ,156.0, ,53.5, 
44,U.C. Riverside,Los Angeles Basin,1/15/2017,015,0.05, ,0.00, ,220, ,9.5, ,61.2, ,44.4, ,53.0, ,82, ,55, ,69, ,43.2, ,3.0, ,73.0, ,53.3, 
44,U.C. Riverside,Los Angeles Basin,1/16/2017,016,0.10, ,0.00, ,276, ,7.3, ,65.9, ,45.0, ,54.0, ,86, ,18, ,52, ,36.6, ,4.3, ,102.7, ,53.9, 
44,U.C. Riverside,Los Angeles Basin,1/17/2017,017,0.08, ,0.00, ,286, ,5.8, ,67.3, ,39.6, ,51.4, ,74, ,17, ,45, ,30.7, ,3.1, ,75.1, ,52.5, 
44,U.C. Riverside,Los Angeles Basin,1/18/2017,018,0.06, ,0.00, ,239, ,8.1, ,60.0, ,38.9, ,49.6, ,79, ,44, ,67, ,39.0, ,3.0, ,72.4, ,52.0, 
44,U.C. Riverside,Los Angeles Basin,1/19/2017,019,0.05, ,0.44, ,199, ,9.7, ,60.4, ,48.6, ,52.5, ,83, ,51, ,72, ,43.8, ,4.3, ,103.2, ,52.9, 
44,U.C. Riverside,Los Angeles Basin,1/20/2017,020,0.01, ,0.93, ,61, ,9.9, ,54.4, ,47.7, ,49.8, ,86, ,72, ,81, ,44.3, ,5.0, ,120.2, ,52.9, 
44,U.C. Riverside,Los Angeles Basin,1/21/2017,021,0.05, ,0.00, ,220, ,8.2, ,58.1, ,43.5, ,49.7, ,79, ,46, ,67, ,39.3, ,3.1, ,75.6, ,52.3, 
44,U.C. Riverside,Los Angeles Basin,1/22/2017,022,0.01, ,1.24, ,44, ,10.0, ,53.7, ,47.6, ,49.9, ,86, ,75, ,82, ,44.5, ,4.2, ,100.7, ,52.1, 
44,U.C. Riverside,Los Angeles Basin,1/23/2017,023,0.02, ,0.46, ,139, ,8.8, ,51.9, ,44.3, ,47.2, ,85, ,67, ,79, ,41.2, ,3.4, ,81.6, ,51.7, 
44,U.C. Riverside,Los Angeles Basin,1/24/2017,024,0.05, ,0.00, ,222, ,7.2, ,53.0, ,38.0, ,45.3, ,84, ,49, ,70, ,36.2, ,2.6, ,63.5, ,51.1, 
44,U.C. Riverside,Los Angeles Basin,1/25/2017,025,0.07, ,0.00, ,302, ,6.3, ,58.1, ,35.3, ,45.4, ,86, ,32, ,61, ,32.8, ,2.7, ,63.8, ,50.5, 
44,U.C. Riverside,Los Angeles Basin,1/26/2017,026,0.10, ,0.00, ,307, ,5.2, ,59.6, ,37.5, ,48.8, ,82, ,28, ,44, ,28.1, ,5.2, ,125.1, ,49.9, 
44,U.C. Riverside,Los Angeles Basin,1/27/2017,027,0.14, ,0.00, ,314, ,3.3, ,58.7, ,40.4, ,51.0, ,48, ,17, ,26, ,17.3, ,8.3,Y,200.0,Y,49.1, 
44,U.C. Riverside,Los Angeles Basin,1/28/2017,028,0.13, ,0.00, ,324, ,3.2, ,69.9, ,39.6, ,57.9, ,44, ,13, ,20, ,16.7, ,4.8, ,114.9, ,48.8, 
44,U.C. Riverside,Los Angeles Basin,1/29/2017,029,0.14, ,0.00, ,323, ,3.8, ,74.4, ,47.4, ,62.4, ,37, ,14, ,20, ,20.6, ,4.8, ,114.5, ,49.8, 
44,U.C. Riverside,Los Angeles Basin,1/30/2017,030,0.12, ,0.00, ,321, ,5.3, ,76.6, ,45.0, ,60.8, ,50, ,15, ,29, ,28.4, ,3.3, ,80.0, ,50.9, 
44,U.C. Riverside,Los Angeles Basin,1/31/2017,031,0.10, ,0.00, ,326, ,6.5, ,74.4, ,46.1, ,58.8, ,56, ,20, ,38, ,33.5, ,3.0, ,71.0, ,52.0, 
44,U.C. Riverside,Los Angeles Basin,2/1/2017,032,0.10, ,0.00, ,313, ,6.9, ,73.0, ,42.9, ,55.6, ,69, ,17, ,45, ,34.9, ,2.8, ,66.5, ,52.4, 
44,U.C. Riverside,Los Angeles Basin,2/2/2017,033,0.08, ,0.00, ,266, ,7.0, ,66.5, ,40.7, ,52.9, ,74, ,28, ,51, ,35.4, ,2.6, ,62.2, ,52.3, 
44,U.C. Riverside,Los Angeles Basin,2/3/2017,034,0.03, ,0.01, ,141, ,10.9, ,59.7, ,48.2, ,54.3, ,84, ,55, ,76, ,46.8, ,2.5, ,60.0, ,53.3, 
