,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
1316,"Los Angeles, CA",2019-02-01,2019-02-28,30,735000.0,901.0
5740,"Chicago, IL",2019-06-01,2019-06-30,30,276500.0,1029.0
8466,"Los Angeles, CA",2019-08-01,2019-08-31,30,811000.0,1589.0
10103,"San Francisco, CA",2019-09-01,2019-09-30,30,1528500.0,128.0
12883,"San Francisco, CA",2022-02-01,2022-02-28,30,1850000.0,140.0
13251,"Raleigh, NC",2018-11-01,2018-11-30,30,315000.0,400.0
26415,"New York, NY",2018-04-01,2018-04-30,30,568000.0,632.0
30554,"New York, NY",2020-02-01,2020-02-29,30,599000.0,553.0
31971,"Seattle, WA",2021-05-01,2021-05-31,30,1025000.0,722.0
43136,"Atlanta, GA",2021-09-01,2021-09-30,30,445000.0,576.0
43769,"San Francisco, CA",2021-06-01,2021-06-30,30,1915000.0,295.0
44008,"Boston, MA",2018-04-01,2018-04-30,30,571500.0,55.0
46830,"Los Angeles, CA",2021-10-01,2021-10-31,30,1083750.0,1628.0
65830,"Seattle, WA",2020-11-01,2020-11-30,30,850000.0,609.0
74173,"Los Angeles, CA",2023-02-01,2023-02-28,30,1100000.0,764.0
79275,"Raleigh, NC",2020-05-01,2020-05-31,30,320000.0,425.0
99148,"San Francisco, CA",2018-08-01,2018-08-31,30,1517500.0,197.0
103109,"Boston, MA",2019-05-01,2019-05-31,30,665000.0,99.0
104925,"Atlanta, GA",2021-05-01,2021-05-31,30,504000.0,725.0
105665,"San Francisco, CA",2020-12-01,2020-12-31,30,1579500.0,266.0
113182,"Raleigh, NC",2018-08-01,2018-08-31,30,290000.0,524.0
118860,"Los Angeles, CA",2020-12-01,2020-12-31,30,965000.0,1798.0
124744,"Boston, MA",2019-08-01,2019-08-31,30,649000.0,105.0
127179,"Denver, CO",2020-02-01,2020-02-29,30,475000.0,505.0
131268,"Los Angeles, CA",2022-05-01,2022-05-31,30,1285000.0,1362.0
132651,"New York, NY",2021-09-01,2021-09-30,30,702000.0,841.0
137528,"New York, NY",2023-01-01,2023-01-31,30,713750.0,498.0
140144,"Austin, TX",2020-02-01,2020-02-29,30,416000.0,736.0
142312,"Austin, TX",2018-07-01,2018-07-31,30,394000.0,1104.0
150247,"New York, NY",2022-11-01,2022-11-30,30,725000.0,578.0
158439,"Boston, MA",2020-09-01,2020-09-30,30,709250.0,108.0
166240,"Seattle, WA",2022-09-01,2022-09-30,30,980000.0,422.0
175184,"New York, NY",2018-03-01,2018-03-31,30,565000.0,621.0
184454,"Boston, MA",2021-10-01,2021-10-31,30,699900.0,79.0
185220,"Atlanta, GA",2022-06-01,2022-06-30,30,560073.5,529.0
199585,"Raleigh, NC",2020-12-01,2020-12-31,30,354000.0,505.0
200513,"Seattle, WA",2019-11-01,2019-11-30,30,800000.0,485.0
201414,"Austin, TX",2018-12-01,2018-12-31,30,378074.0,781.0
202890,"San Francisco, CA",2021-05-01,2021-05-31,30,1835000.0,241.0
209148,"Chicago, IL",2022-01-01,2022-01-31,30,290000.0,770.0
