Date,Total runoff [m^3 s^-1]
1/10/23 16:00,5870
1/10/23 16:15,5850
1/10/23 16:30,5600
1/10/23 16:45,5250
1/10/23 17:00,5250
1/10/23 17:15,5070
1/10/23 17:30,5020
1/10/23 17:45,4930
1/10/23 18:00,4910
1/10/23 18:15,4740
1/10/23 18:30,4550
1/10/23 18:45,4570
1/10/23 19:00,4500
1/10/23 19:15,4480
1/10/23 19:30,4500
1/10/23 19:45,4360
1/10/23 20:00,4320
1/10/23 20:15,4270
1/10/23 20:30,4210
1/10/23 20:45,4170
1/10/23 21:00,4060
1/10/23 21:15,4070
1/10/23 21:30,3980
1/10/23 21:45,4010
1/10/23 22:00,3940
1/10/23 22:15,3950
1/10/23 22:30,3880
1/10/23 22:45,3950
1/10/23 23:00,3900
1/10/23 23:15,3880
1/10/23 23:30,3910
1/10/23 23:45,3870
1/11/23 0:00,3850
1/11/23 0:15,3830
1/11/23 0:30,3810
1/11/23 0:45,3810
1/11/23 1:00,3810
1/11/23 3:00,3690
1/11/23 5:00,3570
1/11/23 7:00,3440
1/11/23 9:00,3320
1/11/23 11:00,3190
1/11/23 13:00,3070
1/11/23 14:30,2980
1/11/23 14:45,2910
1/11/23 15:00,2900
1/11/23 15:15,2870
1/11/23 15:30,2960
1/11/23 15:45,2990
1/11/23 16:00,2880
1/11/23 16:15,2880
1/11/23 16:30,2910
1/11/23 16:45,2880
1/11/23 17:00,2840
1/11/23 17:15,2750
1/11/23 17:30,2800
1/11/23 17:45,2830
1/11/23 18:00,2810
1/11/23 18:15,2760
1/11/23 18:30,2730
1/11/23 18:45,2700
1/11/23 19:00,2710
1/11/23 19:15,2710
1/11/23 19:30,2740
1/11/23 19:45,2680
1/11/23 20:00,2690
1/11/23 20:15,2660
1/11/23 20:30,2670
1/11/23 20:45,3140
1/11/23 21:00,2840
1/11/23 21:15,2710
1/11/23 21:30,2920
1/11/23 21:45,2690
1/11/23 22:00,2710
1/11/23 22:15,2740
1/11/23 22:30,2660
1/11/23 22:45,2570
1/11/23 23:00,2700
1/11/23 23:15,2530
1/11/23 23:30,2520
1/11/23 23:45,2580
1/12/23 0:00,2550
1/12/23 0:15,2590
1/12/23 0:30,2480
1/12/23 0:45,2460
1/12/23 1:00,2540
1/12/23 1:15,2480
1/12/23 1:30,2470
1/12/23 1:45,2410
1/12/23 2:00,2370
1/12/23 2:15,2380
1/12/23 2:30,2390
1/12/23 2:45,2310
1/12/23 3:00,2310
1/12/23 3:15,2330
1/12/23 3:30,2370
1/12/23 3:45,2370
1/12/23 4:00,2280
1/12/23 4:15,2290
1/12/23 4:30,2290
1/12/23 4:45,2270
1/12/23 5:00,2240
1/12/23 5:15,2240
1/12/23 5:30,2180
1/12/23 5:45,2180
1/12/23 6:00,2190
1/12/23 6:15,2160
1/12/23 6:30,2160
1/12/23 6:45,2110
1/12/23 7:00,2100
1/12/23 7:15,2080
1/12/23 7:30,2100
1/12/23 7:45,2030
1/12/23 8:00,2050
1/12/23 8:15,2030
1/12/23 8:30,2000
1/12/23 8:45,1960
1/12/23 9:00,1990
1/12/23 9:15,2020
1/12/23 9:30,1980
1/12/23 9:45,1990
1/12/23 10:00,1940
1/12/23 10:15,1940
1/12/23 10:30,1910
1/12/23 10:45,1910
1/12/23 11:00,1920
1/12/23 11:15,1920
1/12/23 11:30,1920
1/12/23 11:45,1910
1/12/23 12:00,1890
1/12/23 12:15,1870
1/12/23 12:30,1870
1/12/23 12:45,1820
1/12/23 13:00,1830
1/12/23 13:15,1850
1/12/23 13:30,1830
1/12/23 13:45,1840
1/12/23 14:00,1790
1/12/23 14:15,1780
1/12/23 14:30,1800
1/12/23 14:45,1780
1/12/23 15:00,1740
1/12/23 15:15,1870
1/12/23 15:30,1820
1/12/23 15:45,1770
1/12/23 16:00,1710
1/12/23 16:15,1740
1/12/23 16:30,1760
1/12/23 16:45,1770
1/12/23 17:00,1730
1/12/23 17:15,1740
1/12/23 17:30,1730
1/12/23 17:45,1690
1/12/23 18:00,1680
1/12/23 18:15,1700
1/12/23 18:30,1700
1/12/23 18:45,1700
1/12/23 19:00,1680
1/12/23 19:15,1680
1/12/23 19:30,1650
1/12/23 19:45,1650
1/12/23 20:00,1630
1/12/23 20:15,1640
1/12/23 20:30,1600
1/12/23 20:45,1580
1/12/23 21:00,1610
1/12/23 21:15,1620
1/12/23 21:30,1580
1/12/23 21:45,1570
1/12/23 22:00,1570
1/12/23 22:15,1530
1/12/23 22:30,1530
1/12/23 22:45,1530
1/12/23 23:00,1510
1/12/23 23:15,1530
1/12/23 23:30,1490
1/12/23 23:45,1490
1/13/23 0:00,1490
1/13/23 0:15,1480
1/13/23 0:30,1480
1/13/23 0:45,1460
1/13/23 1:00,1500
1/13/23 1:15,1440
1/13/23 1:30,1430
1/13/23 1:45,1420
1/13/23 2:00,1410
1/13/23 2:15,1410
1/13/23 2:30,1380
1/13/23 2:45,1410
1/13/23 3:00,1360
1/13/23 3:15,1340
1/13/23 3:30,1400
1/13/23 3:45,1420
1/13/23 4:00,1330
1/13/23 4:15,1310
1/13/23 4:30,1310
1/13/23 4:45,1310
1/13/23 5:00,1300
1/13/23 5:15,1260
1/13/23 5:30,1260
1/13/23 5:45,1280
1/13/23 6:00,1280
1/13/23 6:15,1260
1/13/23 6:30,1250
1/13/23 6:45,1250
1/13/23 7:00,1220
1/13/23 7:15,1210
1/13/23 7:30,1210
1/13/23 7:45,1210
1/13/23 8:00,1180
1/13/23 8:15,1180
1/13/23 8:30,1180
1/13/23 8:45,1170
1/13/23 9:00,1140
1/13/23 9:15,1150
1/13/23 9:30,1150
1/13/23 9:45,1110
1/13/23 10:00,1140
1/13/23 10:15,1110
1/13/23 10:30,1100
1/13/23 10:45,1050
1/13/23 11:00,999
1/13/23 11:15,990
1/13/23 11:30,990
1/13/23 12:45,966
1/13/23 13:00,965
1/13/23 13:15,965
1/13/23 13:30,972
1/13/23 13:45,980
1/13/23 14:00,927
