# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-04-18 20:31:20 -04:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11113000 SESPE C NR FILLMORE
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 11113000
#    TS_ID       Parameter Description
#    14414       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     Rat  Rating being developed.
#
agency_cd	site_no	datetime	tz_cd	14414_00060	14414_00060_cd
5s	15s	20d	6s	14n	10s
USGS	11113000	2023-01-01 01:00	PST	4760	P
USGS	11113000	2023-01-01 01:15	PST	3780	P
USGS	11113000	2023-01-01 01:30	PST	3100	P
USGS	11113000	2023-01-01 01:45	PST	2770	P
USGS	11113000	2023-01-01 02:00	PST	2490	P
USGS	11113000	2023-01-01 02:15	PST	2270	P
USGS	11113000	2023-01-01 02:30	PST	2090	P
USGS	11113000	2023-01-01 02:45	PST	1930	P
USGS	11113000	2023-01-01 03:00	PST	1840	P
USGS	11113000	2023-01-01 03:15	PST	1750	P
USGS	11113000	2023-01-01 03:30	PST	1660	P
USGS	11113000	2023-01-01 03:45	PST	1580	P
USGS	11113000	2023-01-01 04:00	PST	1440	P
USGS	11113000	2023-01-01 04:15	PST	4160	P
USGS	11113000	2023-01-01 04:30	PST	4590	P
USGS	11113000	2023-01-01 04:45	PST	4540	P
USGS	11113000	2023-01-01 05:00	PST	4320	P
USGS	11113000	2023-01-01 05:15	PST	4000	P
USGS	11113000	2023-01-01 05:30	PST	3730	P
USGS	11113000	2023-01-01 05:45	PST	3540	P
USGS	11113000	2023-01-01 06:00	PST	3340	P
USGS	11113000	2023-01-01 06:15	PST	3140	P
USGS	11113000	2023-01-01 06:30	PST	2950	P
USGS	11113000	2023-01-01 06:45	PST	2830	P
USGS	11113000	2023-01-01 07:00	PST	2700	P
USGS	11113000	2023-01-01 07:15	PST	2530	P
USGS	11113000	2023-01-01 07:30	PST	2460	P
USGS	11113000	2023-01-01 07:45	PST	2260	P
USGS	11113000	2023-01-01 08:00	PST	2210	P
USGS	11113000	2023-01-01 08:15	PST	2120	P
